"REF_DATE","GEO","DGUID","Destination of electronic orders","Number and value of electronic orders","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","British Columbia","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499566","7.3.4","522.1","","","","1"
"2007","Canada","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499483","1.1.1","69886.3","","","","1"
"2007","Canada","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499484","1.1.2","8.3","","","","1"
"2007","Canada","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499485","1.1.3","12772147.1","","","","1"
"2007","Canada","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499486","1.1.4","1519.7","","","","1"
"2007","Canada","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499487","1.2.1","36046.6","","","","1"
"2007","Canada","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499488","1.2.2","4.3","","","","1"
"2007","Canada","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499489","1.2.3","7117992.1","","","","1"
"2007","Canada","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499490","1.2.4","846.9","","","","1"
"2007","Canada","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499491","1.3.1","33839.7","","","","1"
"2007","Canada","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499492","1.3.2","4.0","","","","1"
"2007","Canada","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499493","1.3.3","5654155.0","","","","1"
"2007","Canada","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499494","1.3.4","672.8","","","","1"
"2007","Atlantic provinces","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499495","2.1.1","4284.1","","","","1"
"2007","Atlantic provinces","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499496","2.1.2","8.1","","","","1"
"2007","Atlantic provinces","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499497","2.1.3","645288.4","","","","1"
"2007","Atlantic provinces","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499498","2.1.4","1224.3","","","","1"
"2007","Atlantic provinces","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499499","2.2.1","2296.0","","","","1"
"2007","Atlantic provinces","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499500","2.2.2","4.4","","","","1"
"2007","Atlantic provinces","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499501","2.2.3","393482.6","","","","1"
"2007","Atlantic provinces","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499502","2.2.4","746.6","","","","1"
"2007","Atlantic provinces","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499503","2.3.1","1988.1","","","","1"
"2007","Atlantic provinces","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499504","2.3.2","3.8","","","","1"
"2007","Atlantic provinces","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499505","2.3.3","251805.7","","","","1"
"2007","Atlantic provinces","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499506","2.3.4","477.8","","","","1"
"2007","Quebec","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499507","3.1.1","12223.9","","","","1"
"2007","Quebec","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499508","3.1.2","7.6","","","","1"
"2007","Quebec","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499509","3.1.3","2087393.2","","","","1"
"2007","Quebec","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499510","3.1.4","1292.1","","","","1"
"2007","Quebec","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499511","3.2.1","6266.4","","","","1"
"2007","Quebec","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499512","3.2.2","3.9","","","","1"
"2007","Quebec","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499513","3.2.3","1301107.0","","","","1"
"2007","Quebec","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499514","3.2.4","805.4","","","","1"
"2007","Quebec","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499515","3.3.1","5957.4","","","","1"
"2007","Quebec","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499516","3.3.2","3.7","","","","1"
"2007","Quebec","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499517","3.3.3","786286.1","","","","1"
"2007","Quebec","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499518","3.3.4","486.7","","","","1"
"2007","Ontario","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499519","4.1.1","27486.9","","","","1"
"2007","Ontario","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499520","4.1.2","8.0","","","","1"
"2007","Ontario","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499521","4.1.3","5177442.0","","","","1"
"2007","Ontario","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499522","4.1.4","1509.8","","","","1"
"2007","Ontario","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499523","4.2.1","14805.9","","","","1"
"2007","Ontario","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499524","4.2.2","4.3","","","","1"
"2007","Ontario","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499525","4.2.3","2720524.0","","","","1"
"2007","Ontario","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499526","4.2.4","793.3","","","","1"
"2007","Ontario","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499527","4.3.1","12681.0","","","","1"
"2007","Ontario","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499528","4.3.2","3.7","","","","1"
"2007","Ontario","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499529","4.3.3","2456917.9","","","","1"
"2007","Ontario","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499530","4.3.4","716.5","","","","1"
